ArticleID,SentenceID,WordCount,OriginalText
4,t.04.08,11,Radio signals travel through space like sound waves through a canyon.
4,t.04.09,12,Imagine you and your friend are at different sides of a canyon.
4,t.04.10,13,You shout to your friend and she hears you after a short delay.
4,t.04.11,14,This delay is the time that sound waves need to reach the other side.
4,t.04.12,12,"Similarly, the satellite in space sends a radio signal at one time."
4,t.04.13,13,After a delay the radio signal arrives at the GPS receiver on Earth.
4,t.04.14,11,The receiver records the precise time when the radio signal arrives.
4,t.04.15,9,It then calculates the difference between these two times.
4,t.04.16,11,This time difference is the travel time of the radio signal.
4,t.04.17,14,The GPS uses this travel time to figure out how far the satellite is.
4,t.04.18,13,It uses the formula “distance = time (T) x rate of transmission (C)”.
4,t.04.19,9,T is the travel time of the radio signal.
4,t.04.20,12,"C is the speed of light, more than 186,000 miles per second."
4,t.04.21,12,T x C calculates the distance between the receiver and each satellite.
4,t.04.22,8,Different satellites have different distances from the receiver.
4,t.04.23,10,This information helps the receiver determine its location on Earth.
4,t.04.24,10,The precise location is calculated based on geometry of distances.
4,t.04.25,13,A GPS device that you carry in your car is a small receiver.
4,t.04.26,11,Radio signals from the satellites are updated as the device moves.
4,t.04.27,11,At least 4 satellites are involved to pinpoint the device location.
4,t.04.28,10,GPS devices provide maps and directions that help people travel.
5,t.05.01,9,Engineers design electrical circuits to power homes and buildings.
5,t.05.02,9,Electrical circuits are closed paths that electricity flows through.
5,t.05.03,12,This means that the entire path must be connected like a loop.
5,t.05.04,13,Imagine a simple circuit made with a battery and a piece of wire.
5,t.05.05,13,Now connect each end of the wire to different ends of the battery.
5,t.05.06,13,Your piece of wire and battery now make a circle or circular path.
5,t.05.07,12,One end of the battery is positive and the other end negative.
5,t.05.08,9,Electrons will flow across this circuit through the wire.
5,t.05.09,8,You have just created a simple electrical circuit.
5,t.05.10,12,Removing the wire from the battery will stop the flow of electrons.
5,t.05.11,12,Now imagine that you want to connect the battery to a lightbulb.
5,t.05.12,12,First the wire is cut in the middle and breaks the circuit.
5,t.05.13,9,Then a lightbulb is inserted to reconnect the circuit.
5,t.05.14,10,The electrical circuit is complete again and electrons are flowing.
5,t.05.15,9,"Electricity now flows through the lightbulb, lighting it up."
5,t.05.16,11,"If the circuit is now broken, the lightbulb will go out."
5,t.05.17,15,You can also add a switch in the circuit to break it or connect it.
5,t.05.18,11,This allows you to turn on or turn off the lightbulb.
5,t.05.19,7,A simple electrical circuit contains several parts.
5,t.05.20,9,"These include a source, a path, and a resistor."
5,t.05.21,9,The source provides the energy to an electrical circuit.
5,t.05.22,9,"In our example above, the source is the battery."
5,t.05.23,10,"Batteries can differ in voltage, the electric potential or force."
5,t.05.24,13,The path is the closed loop with wires that connect to the source.
5,t.05.25,8,Electrons flow through the path as electric currents.
5,t.05.26,6,Electric currents increase with increased voltage.
5,t.05.27,10,The resistor is any device that reduces the electric current.
5,t.05.28,9,It creates resistance or impedance in the electrical circuit.
5,t.05.29,9,"In our example above, the resistor is the lightbulb."
5,t.05.30,6,Electric currents decrease with increased resistance.
